                                   Function:                                                                                    Syntax:
                                              
                                      000                                                                                         111                                                 
                                      222                                                                                         333                                                 
                                      333                                                                                         444                                                 
                                       a                                                                                           s                                                  
                                       aa                                                                                          bb                                                 
                                      aaa                                                                                         bbbg                                                
                                       c                                                                                           d                                                  
                                       d                                                                                           a                                                  
                                      ddd                                                                                         jjj                                                 
                                      fff                                                                                         ddd                                                 
                                      ffff                                                                                        uuu                                                 
                                      func                                                                                        syn                                                 
                                       gg                                                                                          ll                                                 
                                      ggg                                                                                         kkk                                                 
                                       hh                                                                                         ggb                                                 
                                       j                                                                                           k                                                  
                                      jjj                                                                                         ddd                                                 
                                       pp                                                                                          ww                                                 
                                      ttt                                                                                         ppp                                                 
                                      wwww                                                                                        gggg                                                
